pattern_id,key,left_token_id,right_token_id,distance,left_text,right_text,train_support,valid_support,npmi,heldout_log_rate_diff,document_count,document_coverage,parent_reuse
630,88080445,21,15,2,6,0,635,130,0.23470553,0.22055617,517,0.05170000,7
631,5876221976,1401,518,1, look, at,633,158,0.51096532,0.02234101,696,0.06960000,2
632,830473240,198,262,1,"
",   ,632,149,0.43237667,0.07940871,180,0.01800000,3
633,1342177348,320,17,1, (,2,632,137,0.19061877,0.16337409,427,0.04270000,12
634,1623197125,387,369,2, be, for,632,172,0.15171481,0.06413946,736,0.07360000,0
635,46151336,11,3498,1,",", though,630,191,0.25459750,0.17208798,687,0.06870000,0
636,71303264,17,24,1,2,9,630,176,0.23914414,0.09029855,571,0.05710000,15
637,1799358873,429,614,2, that, have,630,168,0.12884783,0.04377854,705,0.07050000,0
638,1602226692,382,641,1,".

",In,629,152,0.45386745,0.05471636,652,0.06520000,4
639,104857660,25,15,1,:,0,628,170,0.20478421,0.05879265,457,0.04570000,39
640,1568671909,374,553,2, is, by,628,141,0.15374391,0.12824590,669,0.06690000,1
641,1631587044,389,697,1, on, your,627,161,0.24010889,0.00599220,607,0.06070000,0
642,46140952,11,902,1,",", no,627,149,0.11354887,0.07146586,639,0.06390000,1
643,2088769444,498,1513,1, you, don,626,143,0.33425684,0.11097136,648,0.06480000,11
644,8170505308,1948,279,1, between, the,626,162,0.21005759,0.01378034,670,0.06700000,0
645,8795457204,2097,429,1, fact, that,625,173,0.40838373,0.08107432,692,0.06920000,5
646,2654995488,633,264,1, get, a,625,155,0.19314253,0.02879216,689,0.06890000,0
647,54540172,13,3555,1,., What,624,149,0.31952080,0.06666969,604,0.06040000,0
648,4106226844,979,807,1, when, they,623,151,0.36181427,0.05173231,678,0.06780000,0
649,7302284320,1741,264,1, such, a,623,174,0.25836991,0.09004316,713,0.07130000,0
650,1837106984,438,458,1, as, an,623,168,0.25136214,0.05495184,709,0.07090000,0
651,1811942072,432,686,1, it, will,623,168,0.22728400,0.05495184,697,0.06970000,0
652,1321218992,315,3308,1, of, course,622,142,0.34007611,0.11157866,689,0.06890000,1
653,1568674028,374,1083,1, is, also,622,156,0.25568790,0.01754971,700,0.07000000,2
654,1304434200,311,1414,1, to, know,622,167,0.19503905,0.05058810,654,0.06540000,1
655,3368030477,803,1091,2, more, than,621,154,0.42742106,0.02884410,695,0.06950000,0
656,62914661,15,25,2,0,:,619,162,0.20306428,0.02502544,335,0.03350000,20
657,2172653001,518,882,2, at, time,618,172,0.36051237,0.08654040,665,0.06650000,1
658,4412410096,1052,572,1, there, was,617,146,0.31236088,0.07572803,655,0.06550000,2
659,46141488,11,1036,1,",", “,616,144,0.11068100,0.08789929,496,0.04960000,0
660,1321210272,315,1128,1, of, what,615,124,0.13772466,0.23580633,640,0.06400000,0
661,1354764613,323,1105,2, and, them,614,168,0.14924470,0.06950343,700,0.07000000,0
662,1501563444,358,653,1, I, do,613,146,0.24787446,0.06922394,617,0.06170000,2
663,1547700168,369,498,1, for, you,612,141,0.11294154,0.10243802,616,0.06160000,0
664,2399144036,572,537,1, was, not,611,152,0.22626565,0.02568206,640,0.06400000,0
665,4731176408,1128,374,1, what, is,611,157,0.20934384,0.00668322,630,0.06300000,1
666,92274749,22,15,2,7,0,610,182,0.23555239,0.15608211,483,0.04830000,12
667,83886150,20,17,3,5,2,610,145,0.22381888,0.07119084,589,0.05890000,24
668,4341105886,1035,311,3, would, to,609,171,0.12608839,0.09537966,705,0.07050000,0
669,96469053,23,15,2,8,0,608,190,0.22924033,0.20238357,550,0.05500000,7
670,75497536,18,16,1,3,1,608,160,0.18399887,0.03053331,531,0.05310000,12
671,18949866732,4518,315,1, instead, of,606,134,0.38629782,0.14350581,644,0.06440000,0
672,9072280668,2163,279,1, around, the,606,170,0.19685104,0.09445283,666,0.06660000,1
673,10812917260,2578,387,1, might, be,605,165,0.44061361,0.06625139,665,0.06650000,2
674,6345983198,1513,311,3, don, to,605,142,0.19304411,0.08386702,653,0.06530000,1
675,3615490101,862,13,2, their,.,605,173,0.12369764,0.11359751,656,0.06560000,1
676,3242198424,773,358,1, so, I,604,171,0.23367097,0.10362373,622,0.06220000,1
677,2373977560,566,374,1, he, is,604,171,0.17514860,0.10362373,559,0.05590000,0
678,1799359000,429,646,1, that, can,604,158,0.15017576,0.02455521,673,0.06730000,2
679,75497538,18,16,3,3,1,603,166,0.18330351,0.07560497,478,0.04780000,5
680,1321210764,315,1251,1, of, people,603,158,0.15582747,0.02621221,636,0.06360000,1
681,1170223884,279,3267,1, the, past,601,145,0.29189300,0.05632682,619,0.06190000,6
682,3242204004,773,1753,1, so, much,600,155,0.46841641,0.01202984,657,0.06570000,0
683,1501577520,358,4172,1, I,'d,600,147,0.44461574,0.04096269,568,0.05680000,1
684,2088766181,498,697,2, you, your,600,133,0.21356152,0.14104615,617,0.06170000,0
685,11597254336,2765,944,1, won,'t,599,170,0.58874558,0.10607121,635,0.06350000,1
686,54543368,13,4354,1,., However,597,153,0.37239396,0.00405518,608,0.06080000,1
687,5372904480,1281,264,1, make, a,597,163,0.21291354,0.06736746,662,0.06620000,0
688,1170216328,279,1378,1, the, two,596,122,0.14962453,0.22068525,596,0.05960000,1
689,46157312,11,4992,1,",", etc,594,133,0.31708338,0.13099582,562,0.05620000,0
690,79691856,19,20,1,4,5,594,150,0.31535480,0.01070965,543,0.05430000,3
691,1837108380,438,807,1, as, they,593,152,0.23188960,0.00422050,657,0.06570000,1
692,922746929,220,12,2, ,-,592,111,0.19849299,0.30844206,389,0.03890000,1
693,1170219204,279,2097,1, the, fact,591,157,0.25223303,0.03996416,655,0.06550000,8
694,62915645,15,271,2,0,"

",590,182,0.16836112,0.18941853,621,0.06210000,26
695,20254295260,4829,311,1, wanted, to,589,168,0.37314445,0.11107217,630,0.06300000,0
696,7742688700,1846,879,1, those, who,588,146,0.50302479,0.02758595,549,0.05490000,0
697,13933479132,3322,311,1, enough, to,587,144,0.29343213,0.03967714,646,0.06460000,0
698,1837106584,438,358,1, as, I,587,149,0.13234663,0.00554414,627,0.06270000,2
699,6345987609,1513,1414,2, don, know,586,150,0.53323439,0.00284988,606,0.06060000,3
700,1304433057,311,1128,2, to, what,586,135,0.12012882,0.10251064,652,0.06520000,0
701,5381293148,1283,279,1, after, the,585,176,0.16639323,0.16440652,666,0.06660000,0
702,1677721662,400,15,3, $,0,584,142,0.37404286,0.04853955,404,0.04040000,5
703,3686795316,879,525,1, who, are,584,130,0.29056976,0.13683216,609,0.06090000,0
704,50331708,12,15,1,-,0,584,139,0.25155164,0.06989267,260,0.02600000,55
705,100663368,24,18,1,9,3,583,140,0.30063030,0.06101039,432,0.04320000,12
706,8258586124,1969,387,1, must, be,582,138,0.46333185,0.07368239,603,0.06030000,0
707,1170227537,279,4180,2, the, States,581,131,0.31969250,0.12401906,475,0.04750000,1
708,104857665,25,16,2,:,1,581,149,0.19864233,0.00472993,512,0.05120000,5
709,4508878044,1075,311,1, like, to,581,153,0.12152828,0.03122154,635,0.06350000,5
710,1501577828,358,4249,1, I,’m,579,168,0.51623718,0.12819588,435,0.04350000,2
711,100663372,24,19,1,9,4,579,146,0.32294707,0.01216148,465,0.04650000,9
712,1765803416,421,358,1, if, I,577,153,0.23956302,0.03813003,592,0.05920000,1
713,4244636893,1012,311,2, been, to,575,156,0.15421129,0.06102034,671,0.06710000,0
714,19927142668,4751,1091,1, rather, than,574,157,0.65625991,0.06915078,640,0.06400000,0
715,1170221744,279,2732,1, the, rest,573,136,0.31995660,0.07269646,631,0.06310000,6
716,3053454556,728,311,1, go, to,573,137,0.22154051,0.06537041,601,0.06010000,0
717,3368027357,803,311,2, more, to,573,119,0.10301841,0.20622785,595,0.05950000,0
718,58720317,14,15,2,/,0,570,176,0.34036613,0.19038201,330,0.03300000,37
719,7621054400,1817,1008,1, each, other,569,133,0.55893720,0.08799693,550,0.05500000,0
720,4575986544,1091,220,1, than, ,568,122,0.21025610,0.17256600,534,0.05340000,13
721,75497540,18,17,1,3,2,568,204,0.20364196,0.34153295,514,0.05140000,1
722,12322867528,2938,594,1, That,'s,565,150,0.44111265,0.03934394,574,0.05740000,0
723,343932972,82,11,1,s,",",564,165,0.12792815,0.13642560,621,0.06210000,17
724,4546628528,1084,748,1, It,’s,563,132,0.40394233,0.08494333,494,0.04940000,0
725,20875052252,4977,311,1, seems, to,563,123,0.33504539,0.15556090,582,0.05820000,1
726,2709521933,646,387,2, can, be,563,154,0.22461211,0.06920735,642,0.06420000,0
727,100663350,24,13,3,9,.,562,160,0.10418003,0.10920634,511,0.05110000,6
728,79691846,19,17,3,4,2,561,143,0.22561939,0.00134190,561,0.05610000,20
729,83886962,20,220,3,5, ,560,138,0.12537365,0.03514872,513,0.05130000,8
730,5930747572,1414,429,1, know, that,559,150,0.26780248,0.05002020,622,0.06220000,0
731,4617929760,1101,264,1, just, a,559,146,0.15607692,0.02299152,645,0.06450000,0
732,4106225344,979,432,1, when, it,558,160,0.25291258,0.11634923,652,0.06520000,1
733,92274758,22,17,3,7,2,557,122,0.25578838,0.15300982,537,0.05370000,20
734,100663365,24,17,2,9,2,557,144,0.22275455,0.01278244,479,0.04790000,6
735,19981664300,4764,11,1, however,",",555,134,0.30700302,0.05559394,590,0.05900000,0
736,1799360194,429,944,3, that,'t,555,148,0.16216719,0.04377854,611,0.06110000,0
737,8942258504,2132,594,1,It,'s,554,125,0.44872762,0.12331657,558,0.05580000,1
738,11643390052,2776,537,1,'m, not,554,99,0.42214887,0.35651046,544,0.05440000,5
739,6610226332,1576,807,1, because, they,554,157,0.38726824,0.10461549,619,0.06190000,0
740,1501566472,358,1410,1, I, could,552,138,0.29162730,0.02075999,540,0.05400000,0
741,5930750368,1414,1128,1, know, what,551,118,0.45464828,0.17551581,576,0.05760000,5
742,13874757676,3308,11,1, course,",",551,105,0.25053598,0.29224008,586,0.05860000,1
743,1304432781,311,1059,2, to, her,551,133,0.13459806,0.05585130,457,0.04570000,0
744,1811942136,432,702,1, it, has,550,132,0.21999641,0.06158198,615,0.06150000,1
745,1501573944,358,3278,1, I,'ll,549,148,0.39748774,0.05464821,516,0.05160000,0
746,16778476,4,315,1,%, of,549,121,0.29368670,0.14677352,434,0.04340000,16
747,1170223481,279,3166,2, the, thing,547,125,0.21221487,0.11060069,587,0.05870000,1
748,1107301428,264,1293,1, a, long,546,137,0.27047456,0.01710367,625,0.06250000,2
749,2399144101,572,553,2, was, by,545,166,0.22975236,0.17673637,620,0.06200000,1
750,1547700964,369,697,1, for, your,545,120,0.19342558,0.14775968,566,0.05660000,0
751,1304440416,311,2968,1, to, give,544,133,0.29465109,0.04306574,617,0.06170000,0
752,1321209996,315,1059,1, of, her,544,143,0.14452145,0.02942976,450,0.04500000,0
753,100663389,24,23,2,9,8,543,140,0.33918760,0.01006748,454,0.04540000,5
754,1170228260,279,4361,1, the, whole,543,122,0.27231785,0.12755390,574,0.05740000,0
755,1170213004,279,547,1, the, U,543,127,0.25507362,0.08738786,440,0.04400000,1
756,2088766182,498,697,3, you, your,543,122,0.20062180,0.12755390,562,0.05620000,0
757,1170218052,279,1809,1, the, game,542,124,0.22946859,0.10945006,330,0.03300000,1
758,62914610,15,12,3,0,-,541,101,0.24157362,0.31276439,314,0.03140000,25
759,4731178140,1128,807,1, what, they,540,148,0.32393898,0.07117751,604,0.06040000,0
760,1342178356,320,269,1, (,or,539,134,0.49492489,0.02634140,584,0.05840000,0
761,17163093212,4092,311,1, according, to,539,127,0.41652827,0.07999411,558,0.05580000,0
762,1170221620,279,2701,1, the, following,539,132,0.28985536,0.04137927,545,0.05450000,1
763,100663366,24,17,3,9,2,539,136,0.21859640,0.01152631,546,0.05460000,23
764,79692658,19,220,3,4, ,539,127,0.13360708,0.07999411,483,0.04830000,12
765,6345984409,1513,614,2, don, have,536,124,0.36530591,0.09831822,581,0.05810000,1
766,3384807105,807,944,2, they,'t,535,118,0.28485228,0.14604775,553,0.05530000,0
767,3821012672,911,432,1, about, it,533,167,0.21701878,0.20500676,603,0.06030000,0
768,4152362220,990,315,1, use, of,533,157,0.21060846,0.14325876,536,0.05360000,0
769,2956985612,705,323,1, up, and,533,135,0.11953952,0.00771227,586,0.05860000,0
770,54530286,13,1083,3,., also,532,129,0.17758255,0.05129671,577,0.05770000,0
771,1275072572,304,1039,1, in, our,531,124,0.22771029,0.08894608,543,0.05430000,0
772,71303268,17,25,1,2,:,531,157,0.21500467,0.14701816,467,0.04670000,27
773,167783264,40,2776,1,I,'m,530,124,0.54042985,0.08706107,512,0.05120000,0
774,1799358092,429,419,1, that, this,530,143,0.11741952,0.05550200,602,0.06020000,1
775,2088765541,498,537,2, you, not,529,110,0.16560367,0.20497369,536,0.05360000,1
776,1879050024,448,458,1, with, an,527,124,0.21470533,0.08138461,584,0.05840000,0
777,4106224862,979,311,3, when, to,527,147,0.12421198,0.08876641,619,0.06190000,0
778,8329889240,1986,374,1,This, is,526,134,0.36690850,0.00192704,582,0.05820000,1
779,100663369,24,18,2,9,3,526,117,0.28638108,0.13759290,475,0.04750000,4
780,88080454,21,17,3,6,2,526,165,0.24182980,0.20617864,554,0.05540000,22
781,83886145,20,16,2,5,1,526,142,0.17585807,0.05606022,434,0.04340000,3
782,1837107144,438,498,1, as, you,526,126,0.13718066,0.06348493,550,0.05500000,2
783,2373980184,566,1030,1, he, had,524,128,0.35916343,0.04392704,472,0.04720000,0
784,1568672996,374,825,1, is, one,524,135,0.17342958,0.00931747,605,0.06050000,4
785,1811941912,432,646,1, it, can,524,122,0.16774744,0.09193626,571,0.05710000,1
786,54537680,13,2932,1,., She,522,115,0.31514486,0.14720108,373,0.03730000,0
787,5372905152,1281,432,1, make, it,522,125,0.29296515,0.06381947,570,0.05700000,0
788,104857668,25,17,1,:,2,521,153,0.21251276,0.14022226,405,0.04050000,25
789,1304434285,311,1435,2, to, him,521,135,0.17935151,0.01505911,504,0.05040000,0
790,10984883672,2619,374,1, There, is,519,133,0.34067983,0.00397962,577,0.05770000,0
791,5083497564,1212,279,1, under, the,519,135,0.22281392,0.01890527,561,0.05610000,1
792,1501563576,358,686,1, I, will,519,125,0.19811264,0.05805577,487,0.04870000,0
793,2877294692,686,537,1, will, not,518,105,0.27867504,0.23048052,550,0.05500000,1
794,2088764941,498,387,2, you, be,518,102,0.13427092,0.25946805,532,0.05320000,1
795,6425690772,1532,4261,1, New, York,517,164,0.88595587,0.21735793,437,0.04370000,0
796,100663377,24,20,2,9,5,517,130,0.29416871,0.01497405,479,0.04790000,4
797,3384805477,807,537,2, they, not,517,131,0.24134583,0.00731118,569,0.05690000,1
798,3154117852,752,311,1, me, to,517,152,0.13706592,0.14137202,558,0.05580000,0
799,1354763404,323,803,1, and, more,517,114,0.10173358,0.14631005,564,0.05640000,0
800,79691838,19,15,3,4,0,515,156,0.18234304,0.17122348,456,0.04560000,2
801,1354765176,323,1246,1, and, how,515,146,0.16035591,0.10497410,607,0.06070000,0
802,96469062,23,17,3,8,2,513,133,0.23889534,0.01560766,534,0.05340000,24
803,2252343704,537,614,1, not, have,513,118,0.21455942,0.10405684,556,0.05560000,0
804,54528945,13,748,2,.,’s,512,126,0.12500720,0.03650834,443,0.04430000,0
805,75497556,18,21,1,3,6,511,128,0.30853042,0.01880495,465,0.04650000,0
806,1501566453,358,1405,2, I,’t,511,111,0.30012247,0.16130501,407,0.04070000,1
807,6018826284,1435,11,1, him,",",511,142,0.11697374,0.08499184,512,0.05120000,0
808,71303241,17,18,2,2,3,510,115,0.18987403,0.12394422,478,0.04780000,0
809,1107302720,264,1616,1, a, way,509,144,0.19544408,0.10289966,569,0.05690000,2
810,6857703576,1635,4134,1, years, ago,508,157,0.70611262,0.19129873,488,0.04880000,6
811,1170215384,279,1142,1, the, case,508,112,0.22815789,0.14644820,513,0.05130000,1
812,6610224220,1576,279,1, because, the,508,122,0.10244521,0.06092603,566,0.05660000,0
813,4223665244,1007,279,1, off, the,507,156,0.16270128,0.18687938,605,0.06050000,0
814,1547699852,369,419,1, for, this,507,142,0.15312460,0.09285043,595,0.05950000,0
815,104857672,25,18,1,:,3,506,179,0.27958475,0.32638351,405,0.04050000,28
816,67108964,16,25,1,1,:,506,162,0.18063980,0.22659404,428,0.04280000,22
817,3552576781,847,323,2, my, and,506,135,0.10306429,0.04427249,502,0.05020000,0
818,11458839788,2732,315,1, rest, of,505,127,0.37296043,0.01483697,558,0.05580000,4
819,1170218452,279,1909,1, the, top,505,132,0.26771972,0.02377787,519,0.05190000,1
820,4152362076,990,279,1, use, the,505,126,0.13265316,0.02274215,542,0.05420000,0
821,5620369648,1340,572,1, she, was,504,119,0.33991619,0.07791840,387,0.03870000,0
822,6002049068,1431,11,1, now,",",504,119,0.13481950,0.07791840,571,0.05710000,0
823,1107306708,264,2613,1, a, small,503,145,0.31932498,0.12167795,579,0.05790000,1
824,2252345936,537,1172,1, not, only,502,127,0.35233671,0.00887866,566,0.05660000,2
825,100663364,24,17,1,9,2,501,108,0.20864622,0.16894050,418,0.04180000,8
826,58720320,14,16,1,/,1,500,182,0.32513128,0.35493296,329,0.03290000,24
827,3959424705,944,432,2,'t, it,500,112,0.18399801,0.13057485,543,0.05430000,4
828,62914634,15,18,3,0,3,500,140,0.15565436,0.09256870,438,0.04380000,0
829,4634705972,1105,13,1, them,.,500,117,0.13820938,0.08689979,543,0.05430000,0
830,79691841,19,16,2,4,1,499,123,0.18198706,0.03488736,411,0.04110000,3
831,67110937,16,518,2,1, at,498,150,0.15593710,0.16556959,206,0.02060000,50
832,6249514076,1490,279,1, see, the,498,126,0.12766137,0.00878379,570,0.05700000,0
833,2202011077,525,369,2, are, for,497,117,0.11732475,0.08088172,561,0.05610000,0
834,3955229932,943,315,1, type, of,496,113,0.35053138,0.11365373,494,0.04940000,0
835,1170223400,279,3146,1, the, country,496,124,0.25228008,0.02075999,475,0.04750000,0
836,9848226908,2348,279,1, against, the,496,110,0.20709117,0.14056118,508,0.05080000,1
837,2088765849,498,614,2, you, have,495,122,0.14779804,0.03500234,534,0.05340000,0
838,2877293601,686,264,2, will, a,495,115,0.10010799,0.09409126,556,0.05560000,0
839,24016585948,5726,311,1, ability, to,493,113,0.38424865,0.10758698,503,0.05030000,0
840,33555312,8,220,1,), ,493,137,0.11894777,0.08500613,290,0.02900000,3
841,54528697,13,686,2,., will,493,115,0.10173351,0.09004267,475,0.04750000,0
842,1107318756,264,5625,1, a, couple,492,117,0.39728623,0.07077041,540,0.05400000,0
843,2738882240,653,432,1, do, it,492,114,0.22342764,0.09674589,519,0.05190000,0
844,3552576922,847,358,3, my, I,492,125,0.20434585,0.00463060,508,0.05080000,0
845,1342177341,320,15,2, (,0,492,116,0.12701989,0.07935415,364,0.03640000,2
846,6857687084,1635,11,1, years,",",491,101,0.14117955,0.21578924,535,0.05350000,2
847,4617929949,1101,311,2, just, to,491,118,0.11676007,0.06022513,556,0.05560000,0
848,1765803230,421,311,3, if, to,491,100,0.10303409,0.22573957,540,0.05400000,0
849,46142705,11,1340,2,",", she,491,130,0.10189715,0.03662470,416,0.04160000,0
850,1107308956,264,3175,1, a, single,490,119,0.36603417,0.04974752,510,0.05100000,0
851,1547701184,369,752,1, for, me,490,125,0.25683001,0.00055728,521,0.05210000,0
852,67108896,16,8,1,1,),489,94,0.17578057,0.28353333,436,0.04360000,2
853,922746930,220,12,3, ,-,489,118,0.17412675,0.05614349,406,0.04060000,3
854,6270485596,1495,279,1, down, the,489,121,0.14460981,0.03103757,533,0.05330000,0
855,2088775908,498,3129,1, you,’re,488,136,0.46506455,0.08787386,378,0.03780000,0
856,4383048941,1045,315,2, some, of,488,135,0.13645352,0.08049375,554,0.05540000,0
857,13098813408,3123,504,1, away, from,487,123,0.48728558,0.01054539,541,0.05410000,0
858,100663373,24,19,2,9,4,487,112,0.29863197,0.10423088,431,0.04310000,5
859,8170505485,1948,323,2, between, and,487,122,0.24787597,0.01870870,507,0.05070000,0
860,1107299785,264,882,2, a, time,487,93,0.13786457,0.29013025,532,0.05320000,0
861,1321209288,315,882,1, of, time,487,105,0.12582676,0.16876940,525,0.05250000,1
862,5372904540,1281,279,1, make, the,487,128,0.10394212,0.02930052,559,0.05590000,0
863,1304435964,311,1855,1, to, create,486,118,0.33594597,0.04998962,512,0.05120000,0
864,17205035168,4102,40,1, ,I,485,171,0.32411461,0.32304904,283,0.02830000,1
865,1799359160,429,686,1, that, will,485,98,0.15946640,0.23364704,527,0.05270000,0
866,1799358565,429,537,2, that, not,485,138,0.10671031,0.10863917,580,0.05800000,1
867,96469057,23,16,2,8,1,484,151,0.20305124,0.20072931,389,0.03890000,4
868,1501563289,358,614,2, I, have,482,130,0.12644640,0.05512471,529,0.05290000,0
869,100663362,24,16,3,9,1,481,124,0.17583300,0.00994867,414,0.04140000,5
870,54530096,13,1036,1,., “,481,136,0.16610372,0.10232199,328,0.03280000,0
871,2441094124,582,2299,1, we,'re,480,115,0.44385078,0.06331960,414,0.04140000,0
872,1170218412,279,1899,1, the, day,480,145,0.16055978,0.16848201,530,0.05300000,6
873,100663381,24,21,2,9,6,479,106,0.32081976,0.14272713,424,0.04240000,5
874,10854859996,2588,311,1, hard, to,479,109,0.28520373,0.11481834,530,0.05300000,2
875,7314867892,1744,429,1, think, that,479,125,0.26552585,0.02214752,529,0.05290000,2
876,1799359224,429,702,1, that, has,479,134,0.16709538,0.09167358,554,0.05540000,0
877,4575986720,1091,264,1, than, a,479,115,0.15382084,0.06123409,545,0.05450000,0
878,2877294093,686,387,2, will, be,478,115,0.23944286,0.05914423,539,0.05390000,1
879,1170217281,279,1616,2, the, way,478,124,0.10523388,0.01620521,545,0.05450000,0
880,1631587644,389,847,1, on, my,477,99,0.23829961,0.20686226,469,0.04690000,0
881,46143397,11,1513,2,",", don,477,134,0.10324597,0.09585768,538,0.05380000,6
882,75497544,18,18,1,3,3,476,112,0.25133765,0.08138461,403,0.04030000,2
883,92274750,22,15,3,7,0,476,115,0.20299225,0.05495135,405,0.04050000,2
884,1623201580,387,1483,1, be, used,475,117,0.38371953,0.03560649,482,0.04820000,3
885,1384123460,330,785,1," """,The,475,150,0.33821915,0.21285487,415,0.04150000,0
886,8292140724,1977,429,1, say, that,475,118,0.30445783,0.02709580,517,0.05170000,0
887,104857702,25,25,3,:,:,475,146,0.29123142,0.18582619,266,0.02660000,11
888,1631585932,389,419,1, on, this,475,130,0.17252701,0.06975402,553,0.05530000,0
889,62914594,15,8,3,0,),474,126,0.16841659,0.04060896,357,0.03570000,5
890,4546626782,1084,311,3, It, to,474,108,0.11202347,0.11354172,535,0.05350000,0
891,62921100,15,1635,1,0, years,473,110,0.30732325,0.09308065,473,0.04730000,15
892,2617274849,624,7288,2,".
", •,472,76,0.53765508,0.46071127,189,0.01890000,0
893,1501566296,358,1366,1, I, want,472,129,0.30850132,0.06836779,458,0.04580000,1
894,1170219912,279,2274,1, the, US,472,105,0.27788661,0.13748426,311,0.03110000,0
895,1107305892,264,2409,1, a, big,471,121,0.31393319,0.00646683,531,0.05310000,0
896,1547701624,369,862,1, for, their,471,108,0.19386177,0.10719249,519,0.05190000,0
897,71303249,17,20,2,2,5,471,105,0.18985077,0.13536337,427,0.04270000,0
898,2956985536,705,304,1, up, in,471,126,0.15739605,0.04695819,532,0.05320000,0
899,79691844,19,17,1,4,2,470,102,0.20209662,0.16222551,400,0.04000000,2
900,2688549980,641,279,1,In, the,470,122,0.19090076,0.01682273,529,0.05290000,0
901,2994736284,714,807,1, but, they,469,118,0.25483497,0.01438377,530,0.05300000,0
902,62914608,15,12,1,0,-,469,141,0.22227557,0.16369150,409,0.04090000,14
903,62914642,15,20,3,0,5,469,125,0.15783868,0.04324534,434,0.04340000,1
904,2088766004,498,653,1, you, do,468,103,0.22998120,0.14820493,494,0.04940000,0
905,1631587704,389,862,1, on, their,468,131,0.22043725,0.09226340,539,0.05390000,0
906,67110221,16,339,2,1,th,467,99,0.39176992,0.18567503,391,0.03910000,5
907,1304437708,311,2291,1, to, pay,467,114,0.31562937,0.04459643,424,0.04240000,0
908,67108897,16,8,2,1,),467,72,0.17019071,0.50412876,326,0.03260000,4
909,2994734553,714,374,2, but, is,467,115,0.12568916,0.03586275,539,0.05390000,0
910,4508878476,1075,419,1, like, this,466,142,0.29011063,0.17717580,517,0.05170000,2
911,100663385,24,22,2,9,7,465,113,0.32275205,0.04911521,403,0.04030000,5
912,1321208164,315,601,1, of, us,465,105,0.21392301,0.12254268,467,0.04670000,1
913,104857669,25,17,2,:,2,464,120,0.19772941,0.01314157,412,0.04120000,6
914,92274768,22,20,1,7,5,463,95,0.31094541,0.21831579,424,0.04240000,4
915,75497564,18,23,1,3,8,463,124,0.29518998,0.04808889,412,0.04120000,4
916,1170214049,279,808,2, the,.S,463,109,0.26302656,0.08084480,378,0.03780000,0
917,1799361776,429,1340,1, that, she,463,110,0.23883774,0.07171231,386,0.03860000,0
918,50331698,12,12,3,-,-,462,101,0.39728877,0.15491000,245,0.02450000,29
919,11756635356,2803,311,1, seem, to,461,115,0.34803823,0.02293154,514,0.05140000,2
920,1879051416,448,806,1, with, his,461,120,0.22080414,0.01962808,502,0.05020000,0
921,3686794712,879,374,1, who, is,461,123,0.17831521,0.04432069,516,0.05160000,0
922,13300143604,3171,1405,1, doesn,’t,459,136,0.61318816,0.14913905,447,0.04470000,1
923,71303200,17,8,1,2,),459,76,0.19563102,0.43278249,404,0.04040000,1
924,1098908528,262,220,1,   , ,459,103,0.19035188,0.12878685,171,0.01710000,5
925,46158584,11,5310,1,",", especially,458,121,0.29304461,0.03445574,532,0.05320000,1
926,922746937,220,14,2, ,/,458,117,0.25554791,0.00083913,319,0.03190000,9
927,46142269,11,1231,2,",", may,458,92,0.12300246,0.23954623,478,0.04780000,1
928,7348433048,1752,3110,1, For, example,457,98,0.70963788,0.17418154,455,0.04550000,1
929,2088770368,498,1744,1, you, think,457,116,0.30694117,0.00555882,485,0.04850000,0
930,3959424524,944,387,1,'t, be,456,126,0.21870277,0.07932347,503,0.05030000,1
931,4341105697,1035,264,2, would, a,456,101,0.11449699,0.14183792,511,0.05110000,0
932,14168360172,3378,315,1, sort, of,455,151,0.39259710,0.26251679,492,0.04920000,0
933,4106225880,979,566,1, when, he,455,134,0.34434770,0.14307676,507,0.05070000,0
934,3502244957,835,279,2, end, the,455,123,0.19289735,0.05742131,514,0.05140000,3
935,1321210484,315,1181,1, of, its,455,112,0.16813591,0.03626417,502,0.05020000,0
936,100664178,24,220,3,9, ,455,107,0.11149937,0.08193421,368,0.03680000,10
937,32258395840,7691,944,1, couldn,'t,454,121,0.61336882,0.04322772,460,0.04600000,0
938,1996490852,476,537,1, or, not,454,96,0.20674289,0.18821463,486,0.04860000,0
939,1799360556,429,1035,1, that, would,454,119,0.17530228,0.02656067,516,0.05160000,0
940,6597641308,1573,279,1, before, the,453,126,0.14764085,0.08592416,514,0.05140000,1
941,1811940878,432,387,3, it, be,453,111,0.10524111,0.04082755,523,0.05230000,0
942,1342184408,320,1782,1, (,the,452,121,0.46516876,0.04764274,487,0.04870000,0
943,1501566490,358,1414,3, I, know,452,129,0.26930585,0.11166460,494,0.04940000,0
944,2172649537,518,16,2, at,1,452,153,0.14403216,0.28229012,340,0.03400000,39
945,34686897856,8270,944,1, wouldn,'t,451,118,0.60977037,0.02475166,492,0.04920000,0
946,1170222948,279,3033,1, the, government,451,141,0.20339412,0.20282693,372,0.03720000,0
947,109053196,26,323,1,;, and,451,106,0.15547023,0.08249387,373,0.03730000,0
948,1547699706,369,382,3, for,".

",449,95,0.10250831,0.18761162,500,0.05000000,0
949,7952401440,1896,264,1, take, a,447,104,0.22627814,0.09263332,504,0.05040000,1
950,8795455532,2097,11,1, fact,",",447,126,0.21482002,0.09925769,508,0.05080000,1
